harvardnlp/namedtensor,Merge pull request #29 from rpadaki/master..Wrap names in __init__ as tuple if not already a tuple.
harvardnlp/namedtensor,"Wrap names in __init__ as tuple if not already a tuple...Prevents undesired behavior when names is an iterable...For example. fixes the fact that ntorch.ones(1.2. names=""ab"") runs without error."
jupyterlab/jupyterlab-commenting,Remove duplicate action..The `build` script already runs `jlpm install`.
irhum/inverse-face-recognition,Release ready notebooks
intro-to-ml-with-kubeflow/intro-to-ml-with-kubeflow-examples,Let the SA already exist (#40)
ageron/handson-ml2,Remove unecessary packages (already included in Anaconda) from Dockerfile
Younes-Charfaoui/ML-Projects,Implemnting Monte Carlo Solution. ready for temporal difference problem
Younes-Charfaoui/ML-Projects,Making CNN model. ready for training
amueller/COMS4995-s19,minor fixes and reordering some slides. removed bayesian GMMs. this is too long already.
JuliaDynamics/JuliaDynamics,All notebooks ready for 13/Feb/19 !
smsharma/mining-for-substructure-lens,Simplified training script significantly. ready to re-train models
smsharma/mining-for-substructure-lens,Getting ready to release new sim 😮
microsoft/vision-ai-developer-kit,Removing duplicate files..Removing duplicate files from samples/official/camera-tagging/modules/VisionSampleModule/* that are already present in the repo at vision-ai-developer-kit/samples/official/ai-vision-devkit-get-started/modules/AIVisionDevKitGetStartedModule/*
mwaugh0328/data_bootcamp_spring_2019,ready to map
mwaugh0328/data_bootcamp_spring_2019,ready for class
biof509/spring2019,ready for week1
kylemath/DeepEEG,Fixed autogenerated plotting. ready to play
fzyukio/koe,Fix App.ready() executes initialisation twice (app should run twice in debug mode but initialisation should run only once)
h2oai/tutorials,Added Python script that cleans original UCI dataset..In new tutorial version. user downloads the dataset from S3.and it is already modified to not have the first row.
FoleyLab/wptherml,cleaned up beta - now ready for release!
kundajelab/ChromDragoNN,minor README update. ready for merge
jacobandreas/tre,ready
microsoft/sqlworkshops,Merge pull request #84 from microsoft/anna..Anna work - ready for review
microsoft/sqlworkshops,Update README.md..update main read to show module 5 ready
chrisking/personalens,ready to ship finally
chrisking/personalens,ready to ship
chrisking/personalens,docs are ready to go
chrisking/personalens,ready for everything but clickstreams
chrisking/personalens,ready to ship to github
nmi-lab/dcll,Working on pytorch to nsat compiler.definitely not ready for primetime
parthgoe1/Siamese-Neural-Network,version 1 ready
facebook/Ax,Service API tutorial. updated with section on parallelism and handling exceptions..Summary:.Updated Service API tutorial. with new sections:..{F234274235}..{F234274216}..Will update with a link to the section in the BayesOpt doc. being written in https://fb.quip.com/gy7RAta7RWmi. once we have that ready..Reviewed By: 2timesjay..Differential Revision: D21067690..fbshipit-source-id: 7e13ce10e2a31080114049424f4123c9e2fd69b0
facebook/Ax,Add SQA MultiObjective Serialization..Summary:.Allow multi_objective objects to be serialized...Reuse scalarized_objective_children_metrics field. but not weights (which. for multiobjective. are entirely constructed from other properties passed to the metric)...Note: pyre bug already has fix pending..Reviewed By: ldworkin..Differential Revision: D21028996..fbshipit-source-id: 7ae435b798d36bb4c1bb13d0dca207a765469e86
facebook/Ax,Disallow overwriting experiment in DB in Service API..Summary: To protect experiments that are running in production. users are not allowed to overwrite experiments that are already saved in the DB...Reviewed By: lena-kashtelyan..Differential Revision: D19959711..fbshipit-source-id: fd73a1e014634952a53362f3970acb795ede79d1
facebook/Ax,Set `batch_size` on `AxBatchClient` in Maximus..Summary:.Hardcode the value of 2 as batch size into Maximus to avoid needing to make another substantial change to Maximus in order to ship D19177898. Improving this is taskified: T61142544. and will be done before we start using Maximus for anything other than HHVM. keskici. please correct me if I'm wrong in understanding that that's our only use case and that the batch size there is always 2...NOTE: none of the diffs in this stack can land separately; D19165422 fixes the imperfect logic left in D19165422. which allows the generation strategy to proceed forward too early (there's a place where it compares number of generated arms to number of required trials. which works fine for 1-arm trials but breaks for batched trials. causing the two Maximus test failures we see on this diff). If you didn't understand that lengthy explanation. no worries. it's on me to ensure that by the time the last diff in this stack (D19564405) is ready. all the tests will be passing...Differential Revision: D19564405..fbshipit-source-id: ae3c98d7152b795551aa7e4609739de90d8b47d5
facebook/Ax,Improve trial completion behavior..Summary:.Split Ax trial completion into two calls:..* Complete_trial.    * Expects a full evaluation.    * Errors if metrics are missing.    * Errors if called twice.        * Does it need to?.        * If not. we can merge this with the behavior below..* Update_trial_data.    * Expects a partial evaluation.    * Amends most recent data object with additional metrics.    * Errors if those metrics were already present..Some detailed thinking [here](https://fb.quip.com/Jg07AisnzOJT)..Reviewed By: ldworkin..Differential Revision: D19151635..fbshipit-source-id: bfbba65ec94f7e77a3602d3220fdab21f94edd8e
facebook/Ax,Disable Exec on build for multi task tutorial..Summary: disable build (basically undo what was done in D17467366) --> this will prevent the tutorial from rebuilding during website build and force it to just output what's in the tutorial notebook already. instead of rerunning that and showing the outputs of the re-run)...Reviewed By: ldworkin..Differential Revision: D18981918..fbshipit-source-id: d3e4ce7662510d09b2823e6435f6531a4de94d66
