Repo, Notebook, Message
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Updated notes for clarity of work
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Edited for clarity.
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Create 03_Drug_LSTM_w_Custom_Stopwords.ipynb
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,주석 처리 끝
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,Some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,Colaboratory
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,"Fixed a bug
Added a file which extracts features maps from an image using
vgg16 and saves them to disk."
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,Implimented WGAN for the vggface2 set
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,Added WGAN_for_MNIST which uses wasserstein loss.  edited builders.py to accommodate.
gibsonbailey/Super-Resolution-GAN,WGAN_for_faces.ipynb,"Fixed a bug
Added a file which extracts features maps from an image using
vgg16 and saves them to disk."
gibsonbailey/Super-Resolution-GAN,WGAN_for_faces.ipynb,Included example of upscaler_v2 not working as hoped
gibsonbailey/Super-Resolution-GAN,WGAN_for_faces.ipynb,"added examples for upscaler vs bicubic interpolation for faces dataset, renamed some files"
shravankumar9892/bank-marketing,bank_try.ipynb,comment added
shravankumar9892/bank-marketing,bank_try.ipynb,code cleared
shravankumar9892/bank-marketing,bank_try.ipynb,prediction file saved in the bucket
shravankumar9892/bank-marketing,bank_try.ipynb,datasource created from s3 bucket
shravankumar9892/bank-marketing,bank_try.ipynb,DataSchema JSON file created
shravankumar9892/bank-marketing,bank_try.ipynb,accessing S3 with boto3 added
shravankumar9892/bank-marketing,bank_try.ipynb,added preprocessing of the data file
gmaggiotti/genetic_deep_learning,GDNN.ipynb,adding chart results
gmaggiotti/genetic_deep_learning,GDNN.ipynb,fixing charts in notebook
gmaggiotti/genetic_deep_learning,GDNN.ipynb,adding acc & error charts
gmaggiotti/genetic_deep_learning,GDNN.ipynb,adding accuracy calculation
gmaggiotti/genetic_deep_learning,GDNN.ipynb,adding loss calc notebook
mehran75/persian-news-classifier,.ipynb_checkpoints,4fun
mehran75/persian-news-classifier,.ipynb_checkpoints,Update directory
mehran75/persian-news-classifier,.ipynb_checkpoints,data tarining done by sklearn
mehran75/persian-news-classifier,.ipynb_checkpoints,loading json into pandas dataframe
mehran75/persian-news-classifier,nlp.ipynb,done
mehran75/persian-news-classifier,nlp.ipynb,Update using Colaboratory
mehran75/persian-news-classifier,nlp.ipynb,Add agency predictor
mehran75/persian-news-classifier,nlp.ipynb,Update using Colaboratory
mehran75/persian-news-classifier,nlp.ipynb,Update using Colaboratory
mehran75/persian-news-classifier,nlp.ipynb,Add full dateset
mehran75/persian-news-classifier,nlp.ipynb,"Naive Bayes Implementation

Naive Bayes based on TF-IDF implemented."
mehran75/persian-news-classifier,nlp.ipynb,Update nlp.ipynb
mehran75/persian-news-classifier,nlp.ipynb,data tarining done by sklearn
mehran75/persian-news-classifier,nlp.ipynb,loading json into pandas dataframe
omartinsky/AmericanMonteCarlo,main.ipynb,updated main.ipynb
omartinsky/AmericanMonteCarlo,main.ipynb,Plotting of AMC regression data
omartinsky/AmericanMonteCarlo,main.ipynb,american monte carlo
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Updated notes for clarity of work
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Edited for clarity.
BrittonWinterrose/Drug_Review_NLP,03_Drug_LSTM_w_Custom_Stopwords.ipynb,Create 03_Drug_LSTM_w_Custom_Stopwords.ipynb
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,주석 처리 끝
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,Some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,some fixes
serereuk/textcnn-for-colab,textcnn_for_colab.ipynb,Colaboratory
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,"Fixed a bug
Added a file which extracts features maps from an image using
vgg16 and saves them to disk."
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,Implimented WGAN for the vggface2 set
gibsonbailey/Super-Resolution-GAN,WGAN_for_MNIST.ipynb,Added WGAN_for_MNIST which uses wasserstein loss.  edited builders.py to accommodate.
gibsonbailey/Super-Resolution-GAN,WGAN_for_faces.ipynb,"Fixed a bug
Added a file which extracts features maps from an image using
vgg16 and saves them to disk."
gibsonbailey/Super-Resolution-GAN,WGAN_for_faces.ipynb,Included example of upscaler_v2 not working as hoped
