http://github.com/life-efficient/Academy-of-AI, coursework, 1 contributor,, via upload
http://github.com/UC-MACSS/persp-model-econ_W19, coursework, 1 contributor,, via upload
http://github.com/ydu20/Tensorflow-Lessons, coursework, 1 contributor,, via upload
http://github.com/Apress/machine-learning-with-pyspark, coursework, 0 contributor, 1 commit, via upload
http://github.com/zahash/ArtificialIntelligence, personal project, 1 contributor,, via upload
http://github.com/hecongqing/TextClassification, personal project, 1 contributor,, via upload
http://github.com/dshahid380/Data-analysis-with-pandas,, 2 contributor,, via upload and edits
http://github.com/anopara/multi-resolution-texture-synthesis,, 1 contributor, all commits for README, via upload
http://github.com/eugene/pommerman,, 3 contributor,, via upload then changes
http://github.com/mehran75/persian-news-classifier,, 2 contributor,, small upload, mostly changes
http://github.com/pbcquoc/attention_tutorial,, 1 contributor,, via upload and edits
http://github.com/pranav-ust/hkust-materials,, 1 contributor, rarely any commits
http://github.com/hecongqing/TextClassification
http://github.com/ronreiter/managing-software-developers,,,only 2 commits
http://github.com/ydu20/Tensorflow-Lessons, coursework, 1 contributor
http://github.com/anopara/multi-resolution-texture-synthesis

